Ethnic or cultural origin: Single or multiple response indicator (3) 5,Total - Single and multiple ethnic or cultural origin responses,Single ethnic or cultural origin responses,Multiple ethnic or cultural origin responses
Beninese,0.0,0.0,0.0
Burkinabe,0.01976284584980237,0.0,0.01976284584980237
Cameroonian,0.03952569169960474,0.0,0.03952569169960474
Cape Verdean,0.01976284584980237,0.0,0.01976284584980237
Central African,0.0,0.0,0.0
Chadian,0.01976284584980237,0.0,0.0
Congolese,0.05928853754940711,0.0,0.04940711462450593
Edo,0.04940711462450593,0.0,0.04940711462450593
Esan,0.01976284584980237,0.0,0.01976284584980237
Ewe,0.0,0.0,0.0
Fante,0.01976284584980237,0.0,0.01976284584980237
Fulani,0.0,0.0,0.0
Ga-Adangbe,0.0,0.0,0.0
Gabonese,0.0,0.0,0.0
Gambian,0.0,0.0,0.0
Ghanaian,0.14822134387351776,0.0,0.14822134387351776
Guinean,0.029644268774703556,0.0,0.029644268774703556
Hausa,0.0,0.0,0.0
Igbo,0.01976284584980237,0.01976284584980237,0.0
Ivorian,0.05928853754940711,0.0,0.05928853754940711
Liberian,0.04940711462450593,0.0,0.03952569169960474
Luba,0.0,0.0,0.0
Malian,0.0,0.0,0.0
Malinké,0.0,0.0,0.0
Mauritanian,0.0,0.0,0.0
Mossi,0.0,0.0,0.0
Nigerian,0.18774703557312253,0.0,0.17786561264822134
Nigerien,0.01976284584980237,0.0,0.01976284584980237
Senegalese,0.0,0.0,0.0
Serer,0.0,0.0,0.0
Sierra Leonean,0.01976284584980237,0.0,0.01976284584980237
Soninke,0.0,0.0,0.0
Togolese,0.0,0.0,0.0
Wolof,0.0,0.0,0.0
Yoruba,0.04940711462450593,0.029644268774703556,0.01976284584980237
"Central and West African origins, n.i.e. 70",0.029644268774703556,0.0,0.029644268774703556
North African origins,1.0968379446640315,0.1976284584980237,0.8992094861660078
"North African, n.o.s. 71",0.07905138339920947,0.01976284584980237,0.06916996047430829
Algerian,0.03952569169960474,0.0,0.03952569169960474
Berber,0.05928853754940711,0.0,0.05928853754940711
Dinka,0.0,0.0,0.0
Egyptian,0.49407114624505927,0.05928853754940711,0.43478260869565216
Kabyle,0.0,0.0,0.0
Libyan,0.0,0.0,0.0
Moroccan,0.2569169960474308,0.0,0.2569169960474308
Sudanese,0.1976284584980237,0.10869565217391304,0.08893280632411067
Tunisian,0.029644268774703556,0.0,0.029644268774703556
"North African origins, n.i.e. 72",0.0,0.0,0.0
Southern and East African origins,2.0059288537549405,0.2075098814229249,1.7984189723320156
"Southern or East African, n.o.s. 73",0.3359683794466403,0.03952569169960474,0.2964426877470355
Afar,0.0,0.0,0.0
Afrikaner,0.029644268774703556,0.0,0.029644268774703556
Amhara,0.0,0.0,0.0
"Bantu, n.o.s. 74",0.0,0.0,0.0
Burundian,0.01976284584980237,0.0,0.01976284584980237
Djiboutian,0.0,0.0,0.0
Eritrean,0.06916996047430829,0.01976284584980237,0.04940711462450593
Ethiopian,0.08893280632411067,0.03952569169960474,0.05928853754940711
Harari,0.0,0.0,0.0
Hutu,0.0,0.0,0.0
Kenyan,0.36561264822134387,0.0,0.3458498023715415
Kikuyu,0.0,0.0,0.0
Luo,0.0,0.0,0.0
Malagasy,0.0,0.0,0.0
Malawian,0.0,0.0,0.0
Mauritian,0.3359683794466403,0.03952569169960474,0.2964426877470355
Mozambican,0.0,0.0,0.0
Namibian,0.0,0.0,0.0
Ndebele,0.0,0.0,0.0
Nubian,0.029644268774703556,0.0,0.029644268774703556
Oromo,0.0,0.0,0.0
Réunionnais,0.0,0.0,0.0
Rwandan,0.06916996047430829,0.0,0.06916996047430829
Seychellois,0.029644268774703556,0.0,0.029644268774703556
Shona,0.0,0.0,0.0
Somali,0.13833992094861658,0.05928853754940711,0.07905138339920947
South African,0.266798418972332,0.0,0.266798418972332
South Sudanese,0.0,0.0,0.0
Swahili,0.0,0.0,0.0
Tanzanian,0.1976284584980237,0.0,0.18774703557312253
Tigrinya,0.0,0.0,0.0
Tswana (Batswana),0.0,0.0,0.0
Tutsi,0.0,0.0,0.0
Ugandan,0.22727272727272727,0.0,0.22727272727272727
Zambian,0.0,0.0,0.0
Zimbabwean,0.04940711462450593,0.0,0.04940711462450593
Zulu,0.0,0.0,0.0
"Southern and East African origins, n.i.e. 75",0.0,0.0,0.0
"African origins, n.i.e. 76",0.0,0.0,0.0
Asian origins,89.56521739130434,22.144268774703555,67.42094861660078
"Asian, n.o.s. 77",2.529644268774703,1.768774703557312,0.7707509881422925
West and Central Asian and Middle Eastern origins,7.895256916996047,1.8478260869565215,6.047430830039525
"West or Central Asian or Middle Eastern, n.o.s. 78",0.5039525691699605,0.08893280632411067,0.4150197628458498
Afghan,1.0968379446640315,0.3952569169960474,0.7015810276679841
Armenian,0.14822134387351776,0.0,0.14822134387351776
Assyrian,0.15810276679841895,0.13833992094861658,0.01976284584980237
Azerbaijani,0.029644268774703556,0.0,0.029644268774703556
Baloch,0.04940711462450593,0.0,0.03952569169960474
Circassian,0.01976284584980237,0.0,0.01976284584980237
Cypriot,0.0,0.0,0.0
Georgian,0.0,0.0,0.0
Greek Cypriot,0.0,0.0,0.0
Hazara,0.0,0.0,0.0
Iranian,2.2134387351778653,0.3458498023715415,1.867588932806324
Iraqi,0.4644268774703557,0.18774703557312253,0.27667984189723316
Israeli,0.07905138339920947,0.0,0.07905138339920947
Jordanian,0.10869565217391304,0.0,0.10869565217391304
Kazakh,0.03952569169960474,0.0,0.03952569169960474
Kurdish,0.5632411067193676,0.24703557312252963,0.3162055335968379
Kuwaiti,0.04940711462450593,0.0,0.04940711462450593
Kyrgyz,0.0,0.0,0.0
Lebanese,0.800395256916996,0.10869565217391304,0.691699604743083
Omani,0.0,0.0,0.0
Palestinian,0.23715415019762845,0.0,0.23715415019762845
Pashtun,0.08893280632411067,0.0,0.07905138339920947
Persian,1.1462450592885374,0.16798418972332016,0.9782608695652173
Saudi Arabian,0.029644268774703556,0.0,0.029644268774703556
Syrian,0.3458498023715415,0.10869565217391304,0.22727272727272727
Tajik,0.07905138339920947,0.0,0.07905138339920947
Tatar,0.0,0.0,0.0
Turkish,0.32608695652173914,0.029644268774703556,0.2964426877470355
Turkmen,0.029644268774703556,0.0,0.01976284584980237
Uyghur,0.029644268774703556,0.0,0.029644268774703556
Uzbek,0.029644268774703556,0.0,0.029644268774703556
Yemeni,0.15810276679841895,0.0,0.15810276679841895
"West and Central Asian and Middle Eastern origins, n.i.e. 79",0.029644268774703556,0.0,0.029644268774703556
South Asian origins,12.855731225296442,1.9565217391304346,10.899209486166008
"South Asian, n.o.s. 80",1.0869565217391304,0.17786561264822134,0.9090909090909091
Anglo-Indian,0.03952569169960474,0.0,0.03952569169960474
Bangladeshi,0.18774703557312253,0.0,0.17786561264822134
Bengali,0.07905138339920947,0.0,0.07905138339920947
Bhutanese,0.01976284584980237,0.0,0.01976284584980237
Goan,0.09881422924901186,0.0,0.09881422924901186
Gujarati,0.3458498023715415,0.03952569169960474,0.3063241106719367
Indian (India),8.84387351778656,1.4130434782608694,7.430830039525691
Jatt,0.04940711462450593,0.0,0.04940711462450593
Kashmiri,0.04940711462450593,0.0,0.04940711462450593
Maharashtrian,0.0,0.0,0.0
Malayali,0.029644268774703556,0.0,0.029644268774703556
Nepali,0.16798418972332016,0.01976284584980237,0.15810276679841895
Pakistani,1.185770750988142,0.029644268774703556,1.1561264822134387
Punjabi,0.8201581027667983,0.1976284584980237,0.6225296442687747
Sindhi,0.01976284584980237,0.0,0.01976284584980237
Sinhalese,0.03952569169960474,0.0,0.03952569169960474
Sri Lankan,0.4150197628458498,0.04940711462450593,0.36561264822134387
Tamil,0.24703557312252963,0.0,0.24703557312252963
Telugu,0.03952569169960474,0.0,0.03952569169960474
"South Asian origins, n.i.e. 81",0.05928853754940711,0.0,0.05928853754940711
East and Southeast Asian origins,74.92094861660078,16.57114624505929,58.3498023715415
"East or Southeast Asian, n.o.s. 82",0.9189723320158102,0.5731225296442687,0.3458498023715415
Bruneian,0.14822134387351776,0.0,0.13833992094861658
Burmese,0.5138339920948616,0.06916996047430829,0.44466403162055335
Cambodian (Khmer),0.8695652173913043,0.01976284584980237,0.8399209486166007
Chin,0.0,0.0,0.0
Chinese,51.83794466403162,8.745059288537549,43.083003952569165
Filipino,22.934782608695652,3.6166007905138335,19.318181818181817
Hmong,0.01976284584980237,0.0,0.01976284584980237
Hong Konger,1.4328063241106719,0.1284584980237154,1.2944664031620552
Igorot,0.13833992094861658,0.0,0.13833992094861658
Ilocano,0.6324110671936758,0.06916996047430829,0.5632411067193676
Indonesian,2.658102766798419,0.11857707509881422,2.529644268774703
Japanese,10.59288537549407,0.38537549407114624,10.207509881422924
Javanese,0.08893280632411067,0.03952569169960474,0.05928853754940711
Karen,0.029644268774703556,0.029644268774703556,0.0
Korean,5.780632411067193,0.7707509881422925,5.0098814229249005
Laotian,0.6027667984189723,0.01976284584980237,0.5830039525691699
Malay,0.642292490118577,0.01976284584980237,0.6324110671936758
Malaysian,2.569169960474308,0.24703557312252963,2.3221343873517784
Mongolian,0.22727272727272727,0.029644268774703556,0.2075098814229249
Singaporean,1.007905138339921,0.21739130434782608,0.7905138339920948
Taiwanese,2.0948616600790513,0.3359683794466403,1.7786561264822134
Thai,0.8596837944664031,0.03952569169960474,0.8201581027667983
Tibetan,0.09881422924901186,0.06916996047430829,0.029644268774703556
Vietnamese,12.964426877470355,1.017786561264822,11.936758893280631
"East and Southeast Asian origins, n.i.e. 83",0.09881422924901186,0.029644268774703556,0.07905138339920947
"Asian origins, n.i.e. 84",0.04940711462450593,0.0,0.04940711462450593
Oceanian origins,4.5849802371541495,0.6225296442687747,3.962450592885375
"Oceanian, n.o.s. 85",0.0,0.0,0.0
Pacific Islands origins,4.239130434782608,0.5830039525691699,3.6561264822134385
"Pacific Islander, n.o.s. 86",0.28656126482213434,0.05928853754940711,0.22727272727272727
Fijian,3.0138339920948614,0.43478260869565216,2.5790513833992095
Hawaiian,0.3063241106719367,0.0,0.3063241106719367
Indo-Fijian,0.5237154150197628,0.05928853754940711,0.45454545454545453
"Polynesian, n.o.s. 87",0.11857707509881422,0.0,0.11857707509881422
Samoan,0.10869565217391304,0.0,0.10869565217391304
Tongan,0.1284584980237154,0.01976284584980237,0.10869565217391304
"Pacific Islands origins, n.i.e. 88",0.04940711462450593,0.0,0.03952569169960474
Other Oceanian origins,0.3557312252964427,0.03952569169960474,0.3162055335968379
Australian,0.266798418972332,0.0,0.2569169960474308
Maori,0.0,0.0,0.0
New Zealander,0.07905138339920947,0.029644268774703556,0.03952569169960474
"Other Oceanian origins, n.i.e. 89",0.01976284584980237,0.0,0.01976284584980237
Other ethnic and cultural origins,5.484189723320157,1.1462450592885374,4.33794466403162
Amish,0.0,0.0,0.0
"Arab, n.o.s. 90",1.1363636363636362,0.17786561264822134,0.9683794466403162
"Black, n.o.s. 91",0.9189723320158102,0.05928853754940711,0.8695652173913043
Buddhist,0.21739130434782608,0.07905138339920947,0.14822134387351776
"Caucasian (White), n.o.s. 92",0.7905138339920948,0.01976284584980237,0.7806324110671936
Chaldean,0.1284584980237154,0.06916996047430829,0.06916996047430829
"Christian, n.i.e. 93",0.6027667984189723,0.18774703557312253,0.424901185770751
Coptic,0.01976284584980237,0.0,0.01976284584980237
"Creole, n.o.s. 94",0.04940711462450593,0.0,0.04940711462450593
Doukhobor,0.0,0.0,0.0
"Eurasian, n.o.s. 95",0.09881422924901186,0.01976284584980237,0.07905138339920947
Hindu,0.6126482213438734,0.27667984189723316,0.3359683794466403
Huguenot,0.0,0.0,0.0
Hutterite,0.0,0.0,0.0
Jewish,0.3063241106719367,0.01976284584980237,0.2964426877470355
Mennonite,0.04940711462450593,0.0,0.04940711462450593
